rays, tris, time
65536, 1, 2.3304e6
65536, 4, 2.1655e6
65536, 16, 3.3983e6
65536, 64, 3.9468e6
65536, 256, 1.3129e7
65536, 1024, 4.92498e7
65536, 4096, 1.25424e7
262144, 1, 1.581e6
262144, 4, 2.2043e6
262144, 16, 3.8006e6
262144, 64, 1.47409e7
262144, 256, 3.126e6
262144, 1024, 5.13453e7
262144, 4096, 4.48016e7
589824, 1, 967100.0
589824, 4, 3.345e6
589824, 16, 3.3604e6
589824, 64, 1.29995e7
589824, 256, 4.89675e7
589824, 1024, 2.55956e7
589824, 4096, 8.65368e7
1048576, 1, 1.4585e6
1048576, 4, 5.0206e6
1048576, 16, 5.6914e6
1048576, 64, 2.31075e7
1048576, 256, 5.22446e7
1048576, 1024, 4.51082e7
1048576, 4096, 1.535523e8
